city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Innisfail,146.03,-17.53,297.21,84,35,1.71,AU,1586764107
Wasilla,-149.44,61.58,276.15,86,90,1.5,US,1586764108
Sa Kaeo,102.07,13.81,302.84,66,85,3.69,TH,1586764108
Naze,129.48,28.37,289.15,67,75,5.7,JP,1586763951
Bereda,-7.54,43.27,282.59,100,75,3.1,ES,1586764110
Emporia,-96.18,38.4,273.71,68,1,7.2,US,1586764043
Caravelas,-39.25,-17.71,297.94,86,61,8.33,BR,1586764112
Camaná,-72.71,-16.62,294.5,79,96,3.61,PE,1586764112
Trairi,-39.27,-3.28,298.73,87,100,2.82,BR,1586764113
Batagay,134.63,67.63,271.25,93,100,0.72,RU,1586764114
Nioro,-15.75,13.35,299.65,43,64,1.21,GM,1586764114
Sri Aman,111.46,1.24,307.15,56,75,2.1,MY,1586764115
Antoniny,26.88,49.81,289.98,41,79,7.05,UA,1586764116
Uruana,-49.69,-15.5,293.17,78,37,1.18,BR,1586764116
Harper,-7.72,4.38,301.6,74,98,2.08,LR,1586764118
Mossamedes,12.15,-15.2,297.15,88,75,2.16,AO,1586764119
Kavieng,150.8,-2.57,302.67,73,97,3.54,PG,1586764120
Samarai,150.67,-10.62,299.99,78,28,3.77,PG,1586764121
Cap Malheureux,57.61,-19.98,300.37,94,75,1.5,MU,1586764122
Kaitangata,169.85,-46.28,278.71,73,44,1.79,NZ,1586764123
Vardø,31.11,70.37,273.02,98,100,11.37,NO,1586764123
Verkhozim,45.42,52.71,274.07,89,0,3.72,RU,1586764124
Padang,100.35,-0.95,303.79,63,88,0.94,ID,1586763546
Tshane,21.87,-24.02,302.37,18,0,6.43,BW,1586764125
Wanaka,169.15,-44.7,275.76,69,53,2.79,NZ,1586764010
Deer Lake,-57.43,49.17,267.15,92,5,1.0,CA,1586764128
Ahipara,173.17,-35.17,290.96,77,20,7.4,NZ,1586764128
Nemuro,145.57,43.32,275.15,69,75,5.7,JP,1586764095
Norman Wells,-126.83,65.28,267.15,73,20,0.9,CA,1586764108
Tuatapere,167.68,-46.13,277.04,91,100,2.68,NZ,1586764120
Hay River,-115.8,60.82,261.15,66,20,3.6,CA,1586764132
Ostrovnoy,39.51,68.05,272.07,95,100,13.0,RU,1586764133
San Vicente,-54.13,-26.62,286.08,67,0,1.04,AR,1586764133
Russell,-85.2,32.35,294.26,88,90,3.1,US,1586764134
Mayya,130.28,61.73,279.15,41,20,4.0,RU,1586764135
San Cristobal,-72.22,7.77,291.96,55,33,1.21,VE,1586764135
Lagoa,-27.98,39.05,288.87,81,40,5.31,PT,1586764136
Alyangula,136.42,-13.85,306.15,43,57,3.6,AU,1586764120
Ondjiva,15.73,-17.07,298.67,44,0,2.18,AO,1586764137
Neftçala,49.25,39.37,284.57,61,87,3.22,AZ,1586764138
Smithers,-127.17,54.78,274.15,47,20,1.0,CA,1586764113
Broken Hill,141.43,-31.95,295.15,24,0,2.6,AU,1586764139
Birao,22.79,10.28,309.06,8,73,6.39,CF,1586764140
Margate,1.39,51.38,282.15,65,75,9.8,GB,1586764141
Guerrero Negro,-114.06,27.98,287.59,77,21,7.25,MX,1586764141
Longkou,120.33,37.65,287.58,36,0,0.84,CN,1586764142
Tāybād,60.78,34.74,289.0,51,79,8.05,IR,1586764143
Dalbandin,64.41,28.89,306.17,11,99,3.61,PK,1586764143
Vrangel',133.08,42.73,278.71,64,0,1.54,RU,1586764029
Bucerías,-105.33,20.75,292.15,77,5,2.71,MX,1586764145
Korla,86.15,41.76,298.89,11,32,1.34,CN,1586763897
Nador,-2.93,35.17,289.15,100,20,3.1,MA,1586764146
Rio Grande,-52.1,-32.03,284.82,100,36,5.67,BR,1586763852
Edéa,10.13,3.8,299.15,94,75,0.5,CM,1586764148
Sabang,95.32,5.89,302.76,68,100,2.93,ID,1586764121
Cabedelo,-34.83,-6.98,298.15,88,20,2.6,BR,1586764150
Christchurch,172.63,-43.53,285.37,46,48,1.5,NZ,1586763375
Prince Rupert,-130.32,54.32,277.15,69,1,0.19,CA,1586764109
Karratha,116.85,-20.74,301.14,62,56,8.86,AU,1586764152
Pokhara,83.98,28.23,303.27,13,42,3.45,NP,1586764101
Kananga,22.42,-5.9,298.98,63,88,1.63,CD,1586764153
Oussouye,-16.55,12.48,299.48,54,95,0.69,SN,1586764154
Pyshma,63.25,56.95,286.09,47,100,4.08,RU,1586764155
Alizai,70.35,33.54,301.45,22,10,2.27,PK,1586764155
Barranca,-77.77,-10.75,295.52,76,81,3.45,PE,1586764156
Chekmagush,54.66,55.13,281.24,50,47,3.02,RU,1586764157
Santa Vitória do Palmar,-53.37,-33.52,289.78,85,100,3.77,BR,1586764157
Nhulunbuy,136.77,-12.23,303.15,66,75,5.1,AU,1586764158
Balabac,117.06,7.99,302.55,68,21,4.22,PH,1586764159
Bandarbeyla,50.81,9.49,303.12,51,100,3.75,SO,1586764159
Hirānagar,75.27,32.45,306.9,25,97,2.48,IN,1586764160
Port Macquarie,152.92,-31.43,293.15,68,100,3.1,AU,1586764161
Wuwei,102.64,37.93,293.37,10,35,5.8,CN,1586764124
Soyo,12.37,-6.13,301.91,70,52,3.11,AO,1586764162
Lüderitz,15.16,-26.65,289.15,100,22,1.0,NA,1586764163
Mpongwe,28.16,-13.51,299.5,42,0,1.6,ZM,1586764163
Deputatsky,139.9,69.3,266.12,92,99,4.7,RU,1586764164
Pauini,-66.98,-7.71,293.66,95,55,0.84,BR,1586764165
Freeport,-73.58,40.66,287.59,87,90,5.7,US,1586764165
Fairbanks,-147.72,64.84,279.15,69,90,0.87,US,1586764166
